Name,Min_OS,Recom_OS,Min_Direct_X,Min_HDD_Space,Recom_CPU_Max_Temp,Recom_HDD_Space,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Recom_CPU_Max_Temp,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth
Doctor Who: The Edge Of Time,Windows 10 64-bit,Windows 10 64-bit,DirectX 11,5 GB,50.0,5 GB,27.0,6.0,3.4000000000000004,14.0,50.0,4096.0,1701.0,12.05,42.0,110.5,161.64999999999998
Vampire: The Masquerade - Swansong,Windows 10 64-bit,Windows 7 64-bit,DirectX 11,40 GB,36.5,40 GB,38.5,3.0,3.75,27.0,36.5,2048.0,1487.5,11.6,17.5,53.5,95.2
Pizza Connection 3,Windows Vista 64-bit,Windows 10 64-bit,DirectX 11,2.5 GB,36.5,2.5 GB,27.0,3.0,3.8,27.0,36.5,1536.0,1008.0,11.05,13.5,27.5,50.25
Roundabout,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,4 GB,67.0,4 GB,65.0,2.0,3.45,32.0,67.0,768.0,850.0,11.0,4.0,13.0,40.0
Blackguards: Untold Legends,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,20 GB,35.0,20 GB,65.0,2.0,2.215,65.0,35.0,384.0,850.0,10.0,4.0,8.5,27.2
Cities In Motion,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,2 GB,66.5,2 GB,90.0,1.0,2.05,65.0,66.5,512.0,600.0,9.5,1.0,2.0,19.200000000000003
Slayaway Camp,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Tiger Woods PGA Tour 12: The Masters,Windows XP 32-bit,0,DirectX 9,6 GB,30.5,6 GB,110.0,1.5,2.15,65.0,30.5,192.0,272.5,9.0,0.0,0.0,6.550000000000001
Dead Island: Epidemic,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,6 GB,37.0,6 GB,65.0,2.0,3.23,45.0,37.0,128.0,255.0,10.05,4.0,14.0,8.15
The Legend of Heroes: Trails into Reverie,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,25 GB,35.5,25 GB,38.5,3.0,3.1,23.0,35.5,1024.0,1237.5,11.1,15.5,49.5,79.2
Rigid Boy 2,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Blue Fire,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,6 GB,69.5,6 GB,33.5,2.5,2.9,38.5,69.5,2048.0,1012.5,12.0,11.5,24.5,50.4
Iron Front: Liberation 1944,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,10 GB,72.0,20 GB,65.0,2.0,3.03,38.5,72.0,128.0,350.0,10.05,2.0,4.5,11.2
Shadwen,Windows Vista 32-bit,Windows 7 64-bit,DirectX 10,4 GB,35.5,4 GB,43.5,2.0,3.03,38.5,35.5,704.0,949.5,10.05,14.0,35.5,113.55
Spaceland,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,1 GB,30.5,1 GB,55.0,2.0,2.8,55.0,30.5,1024.0,1112.5,11.0,18.0,31.5,87.6
Pid,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,3 GB,39.0,3 GB,155.0,1.0,1.75,65.0,39.0,256.0,250.0,10.0,2.5,4.0,4.0
Minecraft: Dungeons,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,6 GB,36.5,6 GB,33.5,3.0,3.75,27.0,36.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
Offworld Trading Company,Windows 7 64-bit,Windows 8 64-bit,DirectX 10,2 GB,66.5,2 GB,33.5,2.5,3.1,45.0,66.5,416.0,596.0,10.05,7.5,15.5,38.1
Halo 4,Windows 7 32-bit,Windows 10 64-bit,DirectX 11,55 GB,50.0,55 GB,36.5,4.0,3.1,14.0,50.0,1024.0,1026.0,11.1,10.5,25.0,65.65
Alchemist Simulator,Windows 7 64-bit,Windows 10 64-bit,DirectX 9,5 GB,36.5,5 GB,27.0,3.0,3.35,27.0,36.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
DuckTales: Remastered,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,3 GB,66.5,3 GB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Tomb Raider Definitive Survival Trilogy,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,40 GB,36.5,40 GB,27.0,3.0,3.35,18.0,36.5,2048.0,1563.5,12.05,39.0,83.5,144.05
Marlow Briggs And The Mask Of Death,Windows 7 32-bit,Windows 7 32-bit,DirectX 9,3 GB,71.0,3 GB,77.5,2.0,2.65,45.0,71.0,0.0,400.0,10.05,2.0,3.0,0.0
Secret Weapons Over Normandy,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,0.0,1 GB,180.0,1.0,2.2235,130.0,0.0,128.0,600.0,10.0,2.0,3.0,3.2
The Walking Dead: Season 2 - Episode 2: A House Divided,Windows XP 32-bit,Windows 7 32-bit,DirectX 9,2 GB,36.5,2 GB,155.0,1.0,2.5,65.0,36.5,256.0,200.0,10.1,2.0,2.0,3.2
Mafia 3: Definitive Edition,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,50 GB,52.5,50 GB,32.0,6.0,3.7,27.0,52.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
Woven,Windows 7 32-bit,Windows 10 64-bit,DirectX 11,2 GB,0.0,2 GB,14.0,4.0,3.15,14.0,0.0,2560.0,1376.0,11.1,25.0,100.0,192.1
RambleRumble,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Grimm Ep 9 - The Master Thief,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
South Park: The Fractured But Whole - Relics of Zaron,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,30 GB,36.5,30 GB,32.0,4.0,3.75,27.0,36.5,2048.0,1225.0,11.1,22.5,44.5,116.8
Phantom Doctrine,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,20 GB,36.5,20 GB,45.0,4.0,3.35,32.0,36.5,1536.0,1275.0,11.1,21.5,57.0,120.0
Nightmares from the Deep: The Cursed Heart,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,0.0,1 GB,90.0,1.0,1.83,155.0,0.0,320.0,550.0,9.5,1.0,2.5,6.8
Endless Memories,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,2 GB,70.0,2 GB,55.0,2.0,2.85,38.5,70.0,768.0,899.0,11.05,3.0,6.0,21.6
Final Fantasy XIV Online,Windows XP 32-bit,Windows 7 32-bit,DirectX 9,15 GB,65.0,21 GB,65.0,2.0,2.78,45.0,65.0,512.0,864.0,10.0,10.0,21.5,74.6
Atlantica Online,Windows 2000,Windows Vista 32-bit,DirectX 9,15 GB,0.0,20 GB,180.0,1.0,1.875,130.0,0.0,128.0,310.0,9.0,1.0,1.0,7.75
Hitman 3,Windows 10 64-bit,Windows 10 64-bit,DirectX 12,80 GB,36.5,80 GB,38.5,4.0,3.4000000000000004,18.0,36.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
Dead Effect 2,Windows 7 64-bit,Windows 7 64-bit,DirectX 9,11 GB,52.5,11 GB,32.0,5.0,3.7,27.0,52.5,2048.0,1313.5,11.1,24.5,69.5,132.15
Tom Clancy Splinter Cell: Conviction,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,10 GB,66.5,10 GB,77.5,1.5,1.95,65.0,66.5,256.0,650.0,9.0,0.0,0.0,41.6
Dead GroundZ,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,4 GB,36.5,4 GB,27.0,6.0,3.4000000000000004,18.0,36.5,4096.0,1751.5,12.0,53.5,152.5,224.2
Party Hard 2,Windows XP 64-bit,Windows XP 64-bit,DirectX 9,6 GB,64.0,6 GB,38.5,2.0,3.25,32.0,64.0,896.0,1025.0,10.5,12.5,21.5,80.0
Overlord 2,Windows XP 32-bit,0,DirectX 9,1.5 GB,61.0,1.5 GB,65.0,2.0,1.86,65.0,61.0,384.0,750.0,9.5,1.5,3.0,36.8
Skylanders: Giants,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,3 GB,36.0,3 GB,77.5,2.0,2.6,55.0,36.0,128.0,600.0,10.0,2.0,3.0,3.2
10 Second Ninja,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,155.0,1.0,2.1,77.5,66.5,256.0,600.0,10.0,3.0,7.0,19.2
Food Truck Simulator,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,15 GB,35.5,15 GB,33.5,3.0,3.0,23.0,35.5,2048.0,1351.0,11.1,28.5,81.5,148.89999999999998
QuestRun,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,0MB,66.5,0MB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
We. The Revolution,Windows 7 64-bit,Windows 10 64-bit,DirectX 11,4 GB,69.5,4 GB,45.0,2.5,3.35,32.0,69.5,512.0,1013.0,10.05,11.0,16.5,64.85
Sweet House,Windows 7 64-bit,Windows 10 64-bit,DirectX 9,4 GB,66.5,4 GB,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
Chaos Legion,Windows 98,0,DirectX 8,0MB,0.0,1 GB,180.0,1.0,1.415,180.0,0.0,64.0,358.0,7.55,0.0,0.0,5.050000000000001
The Elder Scrolls V: Dragonborn,Windows XP 32-bit,Windows 7 64-bit,DirectX 9,1 GB,66.5,1 GB,65.0,2.0,2.73,45.0,66.5,256.0,400.0,10.1,0.0,0.0,6.4
